ID,APN,Registered Date,Property Type,Property Address,Property Area,Rpt Dist No,Crm Cd Desc,Longitude,Latitude,Weapon Used Cd,Crime Code
636926,171004981,01/22/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",17800 SHERMAN WY,West Valley,1025,INTIMATE PARTNER - SIMPLE ASSAULT,-118.5208,34.2011,400,626
636927,170904594,01/09/2017,PARKING LOT,13100 VICTORY BL,Van Nuys,939,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),-118.4181,34.1867,0,420
636928,171606927,03/12/2017,PARKING LOT,10100 SAN FERNANDO RD,Foothill,1654,BURGLARY FROM VEHICLE,-118.4083,34.2538,0,330
636929,170214258,07/22/2017,SIDEWALK,W VENICE AV,Rampart,291,ATTEMPTED ROBBERY,-118.2827,34.0444,102,220
636930,171420881,09/12/2017,GARAGE/CARPORT,3600 WESTWOOD BL,Pacific,1438,BIKE - STOLEN,-118.4128,34.021,0,480
636931,171416486,07/07/2017,OTHER BUSINESS,8700 BELLANCA AV,Pacific,1488,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",-118.3805,33.9587,0,668
636932,170705318,01/31/2017,DEPARTMENT STORE,6300 W 3RD ST,Wilshire,734,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",-118.359,34.0712,0,341
636933,170405743,02/10/2017,NURSERY/FLOWER SHOP,4600 HUNTINGTON DR,Hollenbeck,407,ROBBERY,-118.1875,34.0862,511,210
636934,171115080,08/14/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",3300 CAZADOR ST,Northeast,1135,BATTERY - SIMPLE ASSAULT,-118.2319,34.1059,400,624
636935,170601548,09/26/2017,SINGLE FAMILY DWELLING,1300 N MC CADDEN PL,Hollywood,646,TRESPASSING,-118.3375,34.0944,0,888
636936,172005805,02/04/2017,THEATRE/MOVIE,3700 WILSHIRE BL,Olympic,2033,VIOLATION OF RESTRAINING ORDER,-118.3066,34.0617,0,901
636937,170519490,11/21/2017,STREET,300 W 10TH ST,Harbor,566,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),-118.2835,33.7351,0,420
636938,171305462,01/23/2017,STREET,51ST ST,Newton,1361,ROBBERY,-118.2783,33.9965,512,210
636939,171313077,05/25/2017,OTHER BUSINESS,MAIN ST,Newton,1394,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",-118.2739,33.9747,503,230
636940,170306270,02/03/2017,STREET,MARTIN LUTHER KING JR BL,Southwest,391,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),-118.3515,34.0067,500,420
636941,171807370,03/02/2017,TRANSITIONAL HOUSING/HALFWAY HOUSE,600 W 94TH ST,Southeast,1821,CRIMINAL THREATS - NO WEAPON DISPLAYED,-118.2849,33.951,511,930
636942,171508926,03/24/2017,SINGLE FAMILY DWELLING,6400 GENTRY AV,N Hollywood,1525,OTHER ASSAULT,-118.3932,34.1867,500,625
636943,171018490,09/14/2017,SINGLE FAMILY DWELLING,7000 DE CELIS PL,West Valley,1028,THEFT OF IDENTITY,-118.4946,34.1976,0,354
636944,170513665,07/28/2017,PARKING LOT,1100 NAGOYA WY,Harbor,569,VEHICLE - STOLEN,-118.2782,33.7343,0,510
636945,171304592,01/10/2017,STREET,66TH ST,Newton,1391,THEFT PLAIN - PETTY ($950 & UNDER),-118.2783,33.9798,0,440
636946,170120212,07/20/2017,STREET,INDUSTRIAL,Central,142,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",-118.2531,34.0519,0,740
636947,170117333,06/18/2017,OTHER BUSINESS,400 S LOS ANGELES ST,Central,145,THEFT PLAIN - PETTY ($950 & UNDER),-118.2474,34.0471,0,440
636948,171919215,08/15/2017,SIDEWALK,BARTEE AV,Mission,1959,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",-118.4374,34.255,102,230
636949,171509948,04/10/2017,PARKING UNDERGROUND/BUILDING,11500 MOORPARK ST,N Hollywood,1563,BURGLARY FROM VEHICLE,-118.3823,34.1504,0,330
636950,171904894,01/18/2017,SINGLE FAMILY DWELLING,13800 PADDOCK ST,Mission,1905,BURGLARY,-118.4357,34.3171,0,310
636951,171418593,08/04/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1800 PACIFIC AV,Pacific,1431,THEFT OF IDENTITY,-118.4711,33.9864,0,354
636952,171214199,05/22/2017,SINGLE FAMILY DWELLING,500 W 74TH ST,77th Street,1256,BATTERY - SIMPLE ASSAULT,-118.2827,33.9727,400,624
636953,170908753,03/24/2017,SINGLE FAMILY DWELLING,6600 KESTER AV,Van Nuys,923,THEFT PLAIN - PETTY ($950 & UNDER),-118.4574,34.1907,0,440
636954,171314006,06/02/2017,PARKING LOT,3300 S MAIN ST,Newton,1331,BURGLARY FROM VEHICLE,-118.2722,34.0194,0,330
636955,170408837,04/19/2017,STREET,HARBOR FY,Hollenbeck,411,THROWING OBJECT AT MOVING VEHICLE,-118.2228,34.0766,306,647
636956,171215146,06/03/2017,SINGLE FAMILY DWELLING,1100 W 78TH ST,77th Street,1255,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",-118.294,33.9694,500,230
636957,171419209,08/22/2017,STREET,700 HOWARD ST,Pacific,1444,VEHICLE - STOLEN,-118.4533,33.9862,0,510
636958,171121314,12/22/2017,STREET,2600 W AVENUE 24,Northeast,1135,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),-118.2332,34.1164,0,420
636959,171315896,07/03/2017,YARD (RESIDENTIAL/BUSINESS),400 E 62ND ST,Newton,1385,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",-118.2674,33.9834,0,341
636960,171017019,10/10/2017,SIDEWALK,18400 HATTERAS ST,West Valley,1044,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",-118.5338,34.1775,512,230
636961,171519766,09/29/2017,STREET,VALERIO,N Hollywood,1505,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),-118.3878,34.2049,0,420
636962,170625643,12/19/2017,DRIVEWAY,2700 EDWIN PL,Hollywood,621,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),-118.39,34.1215,0,331
636963,170210231,05/06/2017,STREET,1100 W 7TH ST,Rampart,249,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",-118.2611,34.0542,0,341
636964,170623494,11/10/2017,STREET,HOBART,Hollywood,659,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",-118.3056,34.095,0,740
636965,170517182,10/11/2017,"VEHICLE, PASSENGER/TRUCK",1300 W 187TH ST,Harbor,501,VANDALISM - MISDEAMEANOR ($399 OR UNDER),-118.2962,33.8613,0,745
636966,170710015,05/15/2017,SINGLE FAMILY DWELLING,700 N MC CADDEN PL,Wilshire,706,TRESPASSING,-118.3374,34.0835,0,888
636967,171010688,05/23/2017,"VEHICLE, PASSENGER/TRUCK",SHERMAN OAKS AV,West Valley,1089,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",-118.4689,34.1543,0,740
636968,172120367,11/22/2017,STREET,20200 CANTARA ST,Topanga,2118,VEHICLE - STOLEN,-118.5739,34.2192,0,510
636969,171325707,12/11/2017,STREET,700 MATEO ST,Newton,1309,BURGLARY FROM VEHICLE,-118.2323,34.0346,0,330
636970,170914813,07/23/2017,DRIVEWAY,4900 SUNNYSLOPE AV,Van Nuys,966,VANDALISM - MISDEAMEANOR ($399 OR UNDER),-118.4268,34.1595,0,745
636971,172110489,05/10/2017,BEAUTY/BARBER SHOP,7100 OWENSMOUTH AV,Topanga,2146,THEFT PLAIN - PETTY ($950 & UNDER),-118.6016,34.1992,0,440
636972,171008684,04/11/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",15800 SATICOY ST,West Valley,1018,CRIMINAL THREATS - NO WEAPON DISPLAYED,-118.4771,34.2085,511,930
636973,171504103,01/02/2017,SINGLE FAMILY DWELLING,11700 GILMORE ST,N Hollywood,1525,INTIMATE PARTNER - SIMPLE ASSAULT,-118.3877,34.1875,400,626
636974,171208199,02/22/2017,SINGLE FAMILY DWELLING,9800 S VAN NESS AV,77th Street,1283,THEFT OF IDENTITY,-118.3177,33.9472,0,354
636975,171118799,10/31/2017,STREET,FIGUEROA ST,Northeast,1119,VIOLATION OF COURT ORDER,-118.1884,34.136,0,900
636976,171709115,04/06/2017,STREET,9100 ZELZAH AV,Devonshire,1787,BATTERY - SIMPLE ASSAULT,-118.5231,34.2357,400,624
636977,171319615,08/31/2017,GARAGE/CARPORT,5200 S BROADWAY,Newton,1371,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),-118.2783,33.9956,0,420
636978,170712167,07/02/2017,PARKING UNDERGROUND/BUILDING,300 S ARNAZ DR,Wilshire,721,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),-118.3827,34.0736,0,420
636979,170414157,08/16/2017,STREET,1800 SICHEL ST,Hollenbeck,423,VEHICLE - STOLEN,-118.2128,34.064,0,510
636980,171907392,03/05/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",8700 TOBIAS AV,Mission,1985,BATTERY - SIMPLE ASSAULT,-118.4516,34.2279,400,624
636981,170910482,05/04/2017,STREET,CEDROS,Van Nuys,923,VEHICLE - STOLEN,-118.4531,34.1877,0,510
636982,170123019,04/15/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1000 S GRAND AV,Central,182,BURGLARY,-118.2606,34.043,0,310
636983,171404582,01/11/2017,TRANSPORTATION FACILITY (AIRPORT),9200 JENNY AV,Pacific,1495,BATTERY - SIMPLE ASSAULT,-118.3892,33.9534,400,624
636984,170900969,05/29/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",14700 SHERMAN WY,Van Nuys,905,INTIMATE PARTNER - AGGRAVATED ASSAULT,-118.4531,34.2048,200,236
636985,170913682,06/10/2017,RESTAURANT/FAST FOOD,5200 VAN NUYS BL,Van Nuys,955,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",-118.4486,34.1649,0,740
636986,170304907,01/15/2017,STREET,4300 W 28TH ST,Southwest,333,BURGLARY FROM VEHICLE,-118.3355,34.0312,0,330
636987,171216644,06/23/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",800 E 76TH ST,77th Street,1259,INTIMATE PARTNER - SIMPLE ASSAULT,-118.2608,33.9712,400,626
636988,172110777,05/17/2017,OTHER/OUTSIDE,CANOGA AV,Topanga,2136,ROBBERY,-118.5977,34.201,400,210
636989,171811608,05/16/2017,"VEHICLE, PASSENGER/TRUCK",100 W 90TH ST,Southeast,1802,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",-118.2749,33.9546,0,740
636990,171606957,03/05/2017,"VEHICLE, PASSENGER/TRUCK",11300 FOOTHILL BL,Foothill,1606,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",-118.377,34.2756,0,740
636991,170709407,05/02/2017,SINGLE FAMILY DWELLING,900 KENISTON AV,Wilshire,747,BURGLARY,-118.3353,34.0592,0,310
636992,172117874,10/06/2017,SINGLE FAMILY DWELLING,4800 TOPANGA CANYON BL,Topanga,2196,BURGLARY,-118.6058,34.1544,0,310
636993,171411933,05/04/2017,OTHER BUSINESS,8000 S SEPULVEDA BL,Pacific,1476,THEFT PLAIN - PETTY ($950 & UNDER),-118.4006,33.9645,0,440
636994,171612427,07/27/2017,STREET,8100 DE GARMO AV,Foothill,1698,VEHICLE - STOLEN,-118.3561,34.2175,0,510
636995,170511152,06/03/2017,"VEHICLE, PASSENGER/TRUCK",300 W OPP ST,Harbor,526,VANDALISM - MISDEAMEANOR ($399 OR UNDER),-118.2651,33.7828,0,745
636996,170714929,08/30/2017,SINGLE FAMILY DWELLING,500 N STANLEY AV,Wilshire,702,BURGLARY,-118.3563,34.0802,0,310
636997,171208665,03/07/2017,ELEMENTARY SCHOOL,5900 S BUDLONG AV,77th Street,1239,CRIMINAL THREATS - NO WEAPON DISPLAYED,-118.2958,33.9875,0,930
636998,170620940,09/08/2017,BANK,6300 W SUNSET BL,Hollywood,666,"BUNCO, GRAND THEFT",-118.3267,34.098,0,662
636999,171105254,01/27/2017,PARK/PLAYGROUND,4900 GRIFFITH PARK DR,Northeast,1101,BURGLARY FROM VEHICLE,-118.2949,34.1473,0,330
637000,171600882,06/29/2017,PARK/PLAYGROUND,ALLEGHENY ST,Foothill,1681,BRANDISH WEAPON,-118.403,34.2299,101,761
637001,170516051,09/15/2017,OTHER BUSINESS,600 S PACIFIC AV,Harbor,564,BATTERY - SIMPLE ASSAULT,-118.2879,33.7388,400,624
637002,170815196,09/05/2017,OTHER BUSINESS,2200 SAWTELLE BL,West LA,882,THEFT PLAIN - PETTY ($950 & UNDER),-118.4412,34.0382,0,440
637003,170720132,11/24/2017,OTHER BUSINESS,4500 W PICO BL,Wilshire,765,THEFT PLAIN - PETTY ($950 & UNDER),-118.3335,34.0485,0,440
637004,170323953,10/24/2017,STREET,WESTERN AV,Southwest,375,BRANDISH WEAPON,-118.3089,34.0109,101,761
637005,172020570,11/13/2017,"VEHICLE, PASSENGER/TRUCK",2500 W OLYMPIC BL,Olympic,2069,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",-118.2842,34.0524,0,740
637006,212016777,06/11/2017,SINGLE FAMILY DWELLING,1300 W 20TH ST,Olympic,2099,THEFT OF IDENTITY,-118.284,34.0381,0,354
637007,171721940,12/09/2017,SINGLE FAMILY DWELLING,21500 LASSEN ST,Devonshire,1761,BURGLARY,-118.599,34.25,0,310
637008,172111131,05/22/2017,MEDICAL/DENTAL OFFICES,22000 SHERMAN WY,Topanga,2134,BATTERY - SIMPLE ASSAULT,-118.6059,34.201,400,624
637009,171014751,08/11/2017,SINGLE FAMILY DWELLING,6400 ZELZAH AV,West Valley,1035,THEFT PLAIN - PETTY ($950 & UNDER),-118.5229,34.1868,0,440
637010,170314851,06/12/2017,STREET,4100 MC CLUNG DR,Southwest,393,INTIMATE PARTNER - SIMPLE ASSAULT,-118.3341,34.0101,400,626
637011,171615815,08/11/2017,PARKING LOT,11400 PENROSE ST,Foothill,1685,VEHICLE - STOLEN,-118.3795,34.2233,0,510
637012,172019376,10/16/2017,GARAGE/CARPORT,900 S WILTON PL,Olympic,2042,THEFT PLAIN - PETTY ($950 & UNDER),-118.3143,34.0555,0,440
637013,171228179,11/27/2017,SINGLE FAMILY DWELLING,1500 W 84TH ST,77th Street,1265,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",-118.3025,33.9628,0,341
637014,171510283,04/17/2017,SINGLE FAMILY DWELLING,6600 IRVINE AV,N Hollywood,1516,INTIMATE PARTNER - SIMPLE ASSAULT,-118.3856,34.1903,400,626
637015,171604131,01/04/2017,STREET,VAN NUYS,Foothill,1612,ATTEMPTED ROBBERY,-118.4162,34.2704,102,220
637016,171311379,04/10/2017,PUBLIC STORAGE,1700 S SAN PEDRO ST,Newton,1313,BURGLARY,-118.2567,34.0288,0,310
637017,171804605,01/10/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",2100 E 102ND ST,Southeast,1829,BATTERY - SIMPLE ASSAULT,-118.2346,33.9439,400,624
637018,171520822,10/22/2017,STREET,11900 VENTURA BL,N Hollywood,1595,ROBBERY,-118.3908,34.1427,102,210
637019,171416233,07/09/2017,SIDEWALK,REDLANDS ST,Pacific,1472,BATTERY - SIMPLE ASSAULT,-118.4455,33.9619,0,624
637020,170211714,06/03/2017,STREET,900 S BURLINGTON AV,Rampart,275,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),-118.2755,34.0519,0,420
637021,170211690,06/01/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400 S RAMPART BL,Rampart,251,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),-118.2797,34.0649,400,812
637022,171016923,09/08/2017,CREDIT UNION,16100 SHERMAN WY,West Valley,1029,DOCUMENT FORGERY / STOLEN FELONY,-118.4837,34.2012,0,649
637023,171720736,11/16/2017,MTA - ORANGE LINE - CHATSWORTH,10000 OLD DEPOT PLAZA RD,Devonshire,1751,"THEFT, PERSON",-118.599,34.25,0,350
637024,171324294,05/23/2017,SINGLE FAMILY DWELLING,5600 S SAN PEDRO ST,Newton,1372,THEFT OF IDENTITY,-118.2701,33.9916,0,354
637025,170407468,03/20/2017,SIDEWALK,1ST,Hollenbeck,453,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",-118.2178,34.0517,400,230
637026,170901237,07/22/2017,DEPARTMENT STORE,14000 RIVERSIDE DR,Van Nuys,964,SHOPLIFTING - PETTY THEFT ($950 & UNDER),-118.438,34.1576,0,442
637027,170922116,12/08/2017,SPECIALTY SCHOOL/OTHER,14700 FRIAR ST,Van Nuys,932,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",-118.4531,34.1857,0,341
637028,171211671,03/21/2017,SINGLE FAMILY DWELLING,900 W 48TH ST,77th Street,1207,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),-118.2893,33.9996,400,812
637029,170410512,05/24/2017,STREET,2000 MARENGO ST,Hollenbeck,445,BATTERY - SIMPLE ASSAULT,-118.2084,34.0571,400,624
637030,171220814,08/17/2017,SINGLE FAMILY DWELLING,7500 S CENTRAL AV,77th Street,1259,INTIMATE PARTNER - SIMPLE ASSAULT,-118.2629,33.9711,0,626
637031,172007988,03/18/2017,PARKING LOT,600 S BERENDO ST,Olympic,2027,BATTERY - SIMPLE ASSAULT,-118.2941,34.0636,400,624
637032,170305208,01/19/2017,SIDEWALK,3600 S VERMONT AV,Southwest,358,BIKE - STOLEN,-118.2915,34.0231,0,480
637033,170917707,09/22/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",14100 VANOWEN ST,Van Nuys,926,VIOLATION OF COURT ORDER,-118.44,34.1939,0,900
637034,171115137,08/12/2017,STREET,N FIGUEROA ST,Northeast,1158,ROBBERY,-118.2113,34.091,500,210
637035,171017298,10/16/2017,SINGLE FAMILY DWELLING,15400 MOORPARK ST,West Valley,1079,VIOLATION OF TEMPORARY RESTRAINING ORDER,-118.4697,34.1557,0,902
637036,170604962,01/17/2017,MOTEL,5600 W SUNSET BL,Hollywood,648,BATTERY WITH SEXUAL CONTACT,-118.3113,34.1,400,860
637037,171814859,07/11/2017,BANK,10300 S CENTRAL AV,Southeast,1835,DOCUMENT FORGERY / STOLEN FELONY,-118.2541,33.9433,500,649
637038,171905731,02/01/2017,SINGLE FAMILY DWELLING,8200 HAZELTINE AV,Mission,1998,TRESPASSING,-118.4399,34.2202,0,888
637039,171716563,08/29/2017,PARKING LOT,TAMPA,Devonshire,1701,CRIMINAL THREATS - NO WEAPON DISPLAYED,-118.5566,34.2748,511,930
637040,170623631,11/13/2017,SIDEWALK,7100 W SUNSET BL,Hollywood,643,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",-118.3494,34.1007,0,341
637041,170221908,01/08/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",300 COLUMBIA AV,Rampart,248,THEFT PLAIN - PETTY ($950 & UNDER),-118.2644,34.0594,0,440
637042,170316891,07/01/2017,CELL PHONE STORE,1000 W MARTIN LUTHER KING JR BL,Southwest,379,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",-118.2937,34.0145,0,670
637043,170406486,02/26/2017,STREET,600 SPENCE ST,Hollenbeck,478,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",-118.2031,34.0285,304,740
637044,171512922,06/02/2017,STREET,3700 MOUND VIEW AV,N Hollywood,1591,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),-118.394,34.137,0,331
637045,170917339,09/14/2017,LIQUOR STORE,13900 BESSEMER ST,Van Nuys,937,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",-118.4356,34.1813,511,653
637046,171507091,02/19/2017,FURNITURE STORE,5600 LANKERSHIM BL,N Hollywood,1535,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",-118.379,34.1722,0,740
637047,172008285,03/23/2017,PARKING LOT,3400 WILSHIRE BL,Olympic,2027,BATTERY - SIMPLE ASSAULT,-118.296,34.0636,400,624
637048,170400719,03/17/2017,SINGLE FAMILY DWELLING,1ST ST,Hollenbeck,461,DISCHARGE FIREARMS/SHOTS FIRED,-118.2241,34.0475,400,753
637049,171317603,07/29/2017,OTHER BUSINESS,1900 S ALAMEDA ST,Newton,1317,"BUNCO, PETTY THEFT",-118.244,34.0245,0,664
637050,170401204,10/15/2017,SINGLE FAMILY DWELLING,1900 N MARIANNA AV,Hollenbeck,439,BURGLARY,-118.1785,34.0638,0,310
637051,170913176,04/15/2017,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",4500 WOODMAN AV,Van Nuys,989,BATTERY - SIMPLE ASSAULT,-118.4312,34.153,0,624
637052,171007286,03/12/2017,GARAGE/CARPORT,15900 SHERMAN WY,West Valley,1018,BURGLARY,-118.4794,34.2074,0,310
